Temp		    	HumS		    	HumA		    	Luz			        Caudal			  Flujo			
21.466709			1.497617			82.443199			261.000000			19.453251			1.000000			
22.698450			3.475744			84.299487			261.000000			17.356858			1.000000			
20.890106			4.455710			84.748761			261.000000			15.028006			1.000000			
20.378669			5.864920			81.918969			261.000000			18.593316			1.000000			
23.289720			5.886156			82.702949			261.000000			15.868897			1.000000			
21.685644			7.070210			82.531390			261.000000			14.032114			1.000000			
20.789996			7.501975			82.959454			261.000000			15.943697			1.000000			
23.255635			9.390412			84.303089			261.000000			12.845866			1.000000			
24.763854			9.699137			84.024996			261.000000			19.648748			1.000000			
20.230285			10.859033			80.176988			261.000000			10.269857			1.000000			
23.280354			11.067079			82.868824			261.000000			17.421312			1.000000			
20.617010			11.862729			84.053528			261.000000			12.813813			1.000000			
21.213831			12.589747			82.546368			261.000000			10.841592			1.000000			
20.721886			14.449817			83.722987			261.000000			12.119370			1.000000			
21.242553			15.142677			80.750622			261.000000			13.645873			1.000000			
20.899661			15.420628			82.946868			261.000000			11.636024			1.000000			
22.574455			16.139441			82.309540			261.000000			13.982487			1.000000			
22.126991			16.154345			82.595918			261.000000			10.550437			1.000000			
22.131848			16.602467			83.280305			261.000000			15.462543			1.000000			
24.653972			17.280753			80.431653			261.000000			10.790422			1.000000			
23.183010			19.191906			81.673418			261.000000			10.206265			1.000000			
20.180958			19.857496			83.376328			261.000000			12.642775			1.000000			
22.581928			21.662509			81.032682			261.000000			15.115443			1.000000			
24.693611			23.479697			81.555942			261.000000			18.280820			1.000000			
22.911908			24.281641			80.065143			261.000000			11.155489			1.000000			
20.118516			24.611432			80.707694			261.000000			18.039589			1.000000			
21.329800			25.335746			83.793445			261.000000			15.486046			1.000000			
20.215510			26.822764			82.314107			261.000000			14.900999			1.000000			
21.008576			27.260172			83.136934			261.000000			10.862530			1.000000			
20.067794			28.012577			80.202806			261.000000			16.835104			1.000000			
24.802654			28.816011			83.636998			261.000000			11.493078			1.000000			
23.670316			29.490388			81.714491			261.000000			16.783598			1.000000			
23.404493			31.208272			84.494933			261.000000			11.214746			1.000000			
20.034375			32.519308			83.683773			261.000000			13.606847			1.000000			
20.115652			33.770953			80.831066			261.000000			11.077687			1.000000			
23.848807			35.585812			83.897472			261.000000			10.324663			1.000000			
23.258251			36.558900			81.690750			261.000000			10.303009			1.000000			
23.727312			37.231229			82.625828			261.000000			14.339106			1.000000			
24.541971			38.756500			80.006100			261.000000			10.801472			1.000000			
23.378669			39.595921			82.501197			261.000000			10.227595			1.000000			
24.636608			39.921935			80.535195			261.000000			12.116486			1.000000			
20.518147			41.551965			82.343448			261.000000			12.660153			1.000000			
20.614230			42.082541			84.120701			261.000000			17.164173			1.000000			
23.990422			42.519999			81.519920			261.000000			13.599082			1.000000			
22.715758			42.584796			82.179255			261.000000			12.582339			1.000000			
20.412070			42.803613			80.961828			261.000000			17.334829			1.000000			
22.110121			44.523347			84.108931			261.000000			16.210485			1.000000			
20.084339			45.273859			81.160292			261.000000			18.216630			1.000000			
21.655811			46.125938			82.621700			261.000000			12.898094			1.000000			
20.496676			47.615784			80.599248			261.000000			14.794173			1.000000			
22.916326			49.608049			84.600522			261.000000			19.654947			1.000000			
22.722786			50.809057			84.112426			261.000000			11.810734			1.000000			
21.022297			51.624692			81.774698			261.000000			14.486004			1.000000			
24.266241			53.526509			82.947667			261.000000			10.677728			1.000000			
22.400405			55.147217			82.308277			261.000000			18.966711			1.000000			
22.497280			56.493183			84.972427			261.000000			14.235316			1.000000			
21.828140			57.701663			80.863283			261.000000			11.483449			1.000000			
24.658906			58.387103			80.768833			261.000000			11.099313			1.000000			
24.007449			59.238692			81.886027			261.000000			14.042553			1.000000			
24.921977			60.183904			84.746685			261.000000			14.984456			1.000000			
24.643812			62.089437			80.925603			261.000000			10.933072			1.000000			
22.721060			62.643029			83.505229			261.000000			12.679959			1.000000			
22.952982			62.926074			83.195444			261.000000			15.828282			1.000000			
20.316410			63.955706			84.367706			261.000000			10.778506			1.000000			
20.278499			65.035845			81.699281			261.000000			15.393799			1.000000			
21.265634			66.475625			81.981027			261.000000			18.093104			1.000000			
22.710877			67.577619			82.021866			261.000000			11.466262			1.000000			
21.165843			67.945972			81.986986			261.000000			17.328981			1.000000			
24.632444			68.866794			81.402937			261.000000			10.538193			1.000000			
24.376404			70.200610			82.751169			261.000000			15.576645			1.000000			
21.798842			70.841578			82.866046			261.000000			15.780177			1.000000			
20.758876			72.739919			80.483813			261.000000			12.705758			1.000000			
24.630879			72.950289			84.515377			261.000000			18.251430			1.000000			
23.343087			73.637988			82.168827			261.000000			11.198219			1.000000			
24.915894			74.348927			81.368243			261.000000			13.964188			1.000000			
22.879984			74.804401			82.445927			261.000000			17.261134			1.000000			
21.330567			76.007377			82.294356			261.000000			14.331346			1.000000			
22.654454			76.791767			80.894130			261.000000			15.772170			1.000000			
24.320911			77.404569			83.014178			261.000000			14.313969			1.000000			
20.845044			77.946272			81.761149			261.000000			13.948843			1.000000			
23.151482			78.872902			82.769499			261.000000			12.692496			1.000000			
21.824745			79.846532			82.321918			261.000000			10.078366			1.000000			
23.764658			81.062397			80.098533			261.000000			11.355055			1.000000			
23.266273			79.537633			84.235490			261.000000			0.000000			0.000000			
21.985099			79.270992			84.910556			261.000000			0.000000			0.000000			
24.475281			78.841959			82.522118			261.000000			0.000000			0.000000			
21.263043			77.416295			81.476864			261.000000			0.000000			0.000000			
24.636424			77.231044			83.466422			261.000000			0.000000			0.000000			
22.608585			76.257947			80.991278			261.000000			0.000000			0.000000			
